clave_scian,nombre_clase_scian,rama_cod,rama_nombre,subsector_cod,subsector_nombre,categoria_directorio
464122,Comercio al por menor de artículos ortopédicos,4641,Comercio al por menor de artículos para el cuidado de la salud,464,Comercio al por menor de artículos para el cuidado de la salud,
465111,Comercio al por menor de artículos de perfumería y cosméticos,4651,Comercio al por menor de artículos de perfumería y joyería,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465112,Comercio al por menor de artículos de joyería y relojes,4651,Comercio al por menor de artículos de perfumería y joyería,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465211,Comercio al por menor de grabaciones de audio y video en medios físicos,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465212,Comercio al por menor de juguetes,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465213,Comercio al por menor de bicicletas y triciclos,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465214,Comercio al por menor de equipo y material fotográfico,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465215,Comercio al por menor de artículos y aparatos deportivos,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465216,Comercio al por menor de instrumentos musicales,4652,Comercio al por menor de artículos para el esparcimiento,465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465311,Comercio al por menor de artículos de papelería,4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",papeleria
465312,Comercio al por menor de libros,4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465313,Comercio al por menor de revistas y periódicos,4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465911,Comercio al por menor de mascotas y sus accesorios,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465912,Comercio al por menor de regalos,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465913,Comercio al por menor de artículos religiosos,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465914,Comercio al por menor de artículos desechables,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465915,Comercio al por menor en tiendas de artesanías,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
465919,Comercio al por menor de otros artículos de uso personal,4659,"Comercio al por menor de mascotas y sus accesorios, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal",
466111,Comercio al por menor de muebles para el hogar,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466112,Comercio al por menor de electrodomésticos menores y aparatos de línea blanca,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466113,Comercio al por menor de muebles para jardín,4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466114,"Comercio al por menor de cristalería, loza y utensilios de cocina",4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466211,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo",4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466212,Comercio al por menor de teléfonos y otros aparatos de comunicación,4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466311,"Comercio al por menor de alfombras, cortinas, tapices y similares",4663,Comercio al por menor de artículos para la decoración de interiores,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466312,Comercio al por menor de plantas y flores naturales,4663,Comercio al por menor de artículos para la decoración de interiores,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466313,Comercio al por menor de antigüedades y obras de arte,4663,Comercio al por menor de artículos para la decoración de interiores,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466314,Comercio al por menor de lámparas ornamentales y candiles,4663,Comercio al por menor de artículos para la decoración de interiores,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466319,Comercio al por menor de otros artículos para la decoración de interiores,4663,Comercio al por menor de artículos para la decoración de interiores,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
466410,Comercio al por menor de artículos usados,4664,Comercio al por menor de artículos usados,466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados",
467111,Comercio al por menor en ferreterías y tlapalerías,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",ferreteria
467112,Comercio al por menor de pisos y recubrimientos cerámicos,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
467113,Comercio al por menor de pintura,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
467114,Comercio al por menor de vidrios y espejos,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
467115,Comercio al por menor de artículos para la limpieza,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
467116,Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
467117,Comercio al por menor de artículos para albercas y otros artículos,4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",467,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",
468111,Comercio al por menor de automóviles y camionetas nuevos,4681,Comercio al por menor de automóviles y camionetas,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468112,Comercio al por menor de automóviles y camionetas usados,4681,Comercio al por menor de automóviles y camionetas,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468211,"Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones",4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468212,"Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones",4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468213,"Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones",4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468311,Comercio al por menor de motocicletas,4683,Comercio al por menor de motocicletas y otros vehículos de motor,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468319,Comercio al por menor de otros vehículos de motor,4683,Comercio al por menor de motocicletas y otros vehículos de motor,468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468411,Comercio al por menor de gasolina y diésel,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468412,Comercio al por menor de gas LP en cilindros y para tanques estacionarios,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468413,Comercio al por menor de gas LP en estaciones de carburación,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468414,Comercio al por menor en estaciones de gas natural vehicular,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468419,Comercio al por menor de otros combustibles,4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
468420,"Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor",4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes",468,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",
541941,Servicios veterinarios para mascotas prestados por el sector privado,5419,"Otros servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",veterinaria
541942,Servicios veterinarios para mascotas prestados por el sector público,5419,"Otros servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",veterinaria
541943,Servicios veterinarios para la ganadería prestados por el sector privado,5419,"Otros servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",
541944,Servicios veterinarios para la ganadería prestados por el sector público,5419,"Otros servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",
721111,Hoteles con otros servicios integrados,7211,"Hoteles, moteles y similares",721,Servicios de alojamiento temporal,
721112,Hoteles sin otros servicios integrados,7211,"Hoteles, moteles y similares",721,Servicios de alojamiento temporal,
721113,Moteles,7211,"Hoteles, moteles y similares",721,Servicios de alojamiento temporal,
721120,Hoteles con casino,7211,"Hoteles, moteles y similares",721,Servicios de alojamiento temporal,
721190,"Cabañas, villas y similares",7211,"Hoteles, moteles y similares",721,Servicios de alojamiento temporal,
721210,Campamentos y albergues recreativos,7212,Campamentos y albergues recreativos,721,Servicios de alojamiento temporal,
721311,Pensiones y casas de huéspedes,7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",721,Servicios de alojamiento temporal,
721312,Departamentos y casas amueblados con servicios de hotelería,7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hotelería",721,Servicios de alojamiento temporal,
722310,Servicios de comedor para empresas e instituciones,7223,Servicios de preparación de alimentos por encargo,722,Servicios de preparación de alimentos y bebidas,
722320,Servicios de preparación de alimentos para ocasiones especiales,7223,Servicios de preparación de alimentos por encargo,722,Servicios de preparación de alimentos y bebidas,
722330,Servicios de preparación de alimentos en unidades móviles,7223,Servicios de preparación de alimentos por encargo,722,Servicios de preparación de alimentos y bebidas,
722411,"Centros nocturnos, discotecas y similares",7224,"Centros nocturnos, bares, cantinas y similares",722,Servicios de preparación de alimentos y bebidas,
722412,"Bares, cantinas y similares",7224,"Centros nocturnos, bares, cantinas y similares",722,Servicios de preparación de alimentos y bebidas,
722511,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722512,Restaurantes con servicio de preparación de pescados y mariscos,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722513,Restaurantes con servicio de preparación de antojitos,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722514,Restaurantes con servicio de preparación de tacos y tortas,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722515,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,cafeteria
722516,Restaurantes de autoservicio,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722517,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar",7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,pizzeria
722518,Restaurantes que preparan otro tipo de alimentos para llevar,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
722519,Servicios de preparación de otros alimentos para consumo inmediato,7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,722,Servicios de preparación de alimentos y bebidas,restaurante
811111,Reparación mecánica en general de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811112,Reparación del sistema eléctrico y electrónico de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811113,Rectificación de partes de motor de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811114,Reparación de transmisiones de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811115,Reparación de suspensiones de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811116,Alineación y balanceo de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811119,Otras reparaciones mecánicas de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811121,Hojalatería y pintura de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811122,Tapicería de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811123,Servicios de blindaje y de adaptación de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811129,Instalación de cristales y otras reparaciones a la carrocería de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811191,Reparación menor de llantas,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811192,Lavado y lubricado de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811199,Otros servicios de reparación y mantenimiento de automóviles y camiones,8111,Reparación y mantenimiento de automóviles y camiones,811,Servicios de reparación y mantenimiento,taller_mecanico
811211,Reparación y mantenimiento de equipo electrónico de uso doméstico,8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisión,811,Servicios de reparación y mantenimiento,
811219,Reparación y mantenimiento de otro equipo electrónico y de equipo de precisión,8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisión,811,Servicios de reparación y mantenimiento,
811311,Reparación y mantenimiento de maquinaria y equipo agropecuario y forestal,8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",811,Servicios de reparación y mantenimiento,
811312,Reparación y mantenimiento de maquinaria y equipo industrial,8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",811,Servicios de reparación y mantenimiento,
811313,"Reparación y mantenimiento de maquinaria y equipo para mover, levantar y acomodar materiales",8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",811,Servicios de reparación y mantenimiento,
811314,Reparación y mantenimiento de maquinaria y equipo comercial y de servicios,8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de servicios",811,Servicios de reparación y mantenimiento,
811410,Reparación y mantenimiento de aparatos eléctricos para el hogar y personales,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811420,Reparación de tapicería de muebles para el hogar,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811430,Reparación de calzado y otros artículos de piel y cuero,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811491,Cerrajerías,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811492,Reparación y mantenimiento de motocicletas,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811493,Reparación y mantenimiento de bicicletas,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
811499,Reparación y mantenimiento de otros artículos para el hogar y personales,8114,Reparación y mantenimiento de artículos para el hogar y personales,811,Servicios de reparación y mantenimiento,
812110,Salones y clínicas de belleza y peluquerías,8121,"Salones y clínicas de belleza, baños públicos y bolerías",812,Servicios personales,salon_belleza
812120,Baños públicos,8121,"Salones y clínicas de belleza, baños públicos y bolerías",812,Servicios personales,
812130,Sanitarios públicos y bolerías,8121,"Salones y clínicas de belleza, baños públicos y bolerías",812,Servicios personales,
812210,Lavanderías y tintorerías,8122,Lavanderías y tintorerías,812,Servicios personales,
812310,Servicios funerarios,8123,Servicios funerarios y administración de cementerios,812,Servicios personales,
812321,Administración de cementerios pertenecientes al sector privado,8123,Servicios funerarios y administración de cementerios,812,Servicios personales,
812322,Administración de cementerios pertenecientes al sector público,8123,Servicios funerarios y administración de cementerios,812,Servicios personales,
812410,Estacionamientos y pensiones para vehículos automotores,8124,Estacionamientos y pensiones para vehículos automotores,812,Servicios personales,
812910,Servicios de revelado e impresión de fotografías,8129,Servicios de revelado e impresión de fotografías y otros servicios personales,812,Servicios personales,
812990,Otros servicios personales,8129,Servicios de revelado e impresión de fotografías y otros servicios personales,812,Servicios personales,
